red,green,blue,alpha,data_lim_low,data_lim_high
0,0,0,0
255,255,229,255,-1.0,-0.985
255,255,228,255,-0.985,-0.97
254,255,226,255,-0.97,-0.955
254,255,225,255,-0.955,-0.94
254,255,223,255,-0.94,-0.925
254,255,222,255,-0.925,-0.91
253,254,221,255,-0.91,-0.895
253,254,219,255,-0.895,-0.88
253,254,218,255,-0.88,-0.865
253,254,217,255,-0.865,-0.85
252,254,215,255,-0.85,-0.835
252,254,214,255,-0.835,-0.82
252,254,212,255,-0.82,-0.805
252,254,211,255,-0.805,-0.79
251,254,210,255,-0.79,-0.775
251,254,208,255,-0.775,-0.76
251,253,207,255,-0.76,-0.745
251,253,206,255,-0.745,-0.73
250,253,204,255,-0.73,-0.715
250,253,203,255,-0.715,-0.7
250,253,201,255,-0.7,-0.685
250,253,200,255,-0.685,-0.67
249,253,199,255,-0.67,-0.655
249,253,197,255,-0.655,-0.64
249,253,196,255,-0.64,-0.625
249,253,194,255,-0.625,-0.61
248,253,193,255,-0.61,-0.595
248,252,192,255,-0.595,-0.58
248,252,190,255,-0.58,-0.565
248,252,189,255,-0.565,-0.55
247,252,188,255,-0.55,-0.535
247,252,186,255,-0.535,-0.52
247,252,185,255,-0.52,-0.505
246,252,184,255,-0.505,-0.49
245,251,184,255,-0.49,-0.475
244,251,183,255,-0.475,-0.46
243,250,182,255,-0.46,-0.445
242,250,181,255,-0.445,-0.43
241,250,181,255,-0.43,-0.415
240,249,180,255,-0.415,-0.4
239,249,179,255,-0.4,-0.385
238,249,179,255,-0.385,-0.37
237,248,178,255,-0.37,-0.355
237,248,177,255,-0.355,-0.34
236,247,177,255,-0.34,-0.325
235,247,176,255,-0.325,-0.31
234,247,175,255,-0.31,-0.295
233,246,175,255,-0.295,-0.28
232,246,174,255,-0.28,-0.265
231,246,173,255,-0.265,-0.25
230,245,172,255,-0.25,-0.235
229,245,172,255,-0.235,-0.22
228,244,171,255,-0.22,-0.205
227,244,170,255,-0.205,-0.19
226,244,170,255,-0.19,-0.175
225,243,169,255,-0.175,-0.16
224,243,168,255,-0.16,-0.145
223,243,168,255,-0.145,-0.13
222,242,167,255,-0.13,-0.115
221,242,166,255,-0.115,-0.1
221,241,166,255,-0.1,-0.085
220,241,165,255,-0.085,-0.07
219,241,164,255,-0.07,-0.055
218,240,164,255,-0.055,-0.04
217,240,163,255,-0.04,-0.025
215,239,162,255,-0.025,-0.01
214,239,162,255,-0.01,0.005
213,238,161,255,0.005,0.02
211,237,160,255,0.02,0.035
210,237,160,255,0.035,0.05
208,236,159,255,0.05,0.065
207,236,158,255,0.065,0.08
206,235,158,255,0.08,0.095
204,234,157,255,0.095,0.11
203,234,156,255,0.11,0.125
201,233,156,255,0.125,0.14
200,233,155,255,0.14,0.155
199,232,154,255,0.155,0.17
197,232,154,255,0.17,0.185
196,231,153,255,0.185,0.2
195,230,152,255,0.2,0.215
193,230,152,255,0.215,0.23
192,229,151,255,0.23,0.245
190,229,150,255,0.245,0.26
189,228,150,255,0.26,0.275
188,227,149,255,0.275,0.29
186,227,148,255,0.29,0.305
185,226,148,255,0.305,0.32
184,226,147,255,0.32,0.335
182,225,146,255,0.335,0.35
181,224,146,255,0.35,0.365
179,224,145,255,0.365,0.38
178,223,144,255,0.38,0.395
177,223,144,255,0.395,0.41
175,222,143,255,0.41,0.425
174,221,142,255,0.425,0.44
172,221,142,255,0.44,0.455
171,220,141,255,0.455,0.47
169,219,140,255,0.47,0.485
167,219,140,255,0.485,0.5
166,218,139,255,0.5,0.515
164,217,138,255,0.515,0.53
162,216,138,255,0.53,0.545
161,216,137,255,0.545,0.56
159,215,136,255,0.56,0.575
157,214,136,255,0.575,0.59
156,214,135,255,0.59,0.605
154,213,135,255,0.605,0.62
152,212,134,255,0.62,0.635
151,211,133,255,0.635,0.65
149,211,133,255,0.65,0.665
147,210,132,255,0.665,0.68
146,209,131,255,0.68,0.695
144,208,131,255,0.695,0.71
142,208,130,255,0.71,0.725
141,207,129,255,0.725,0.74
139,206,129,255,0.74,0.755
137,206,128,255,0.755,0.77
136,205,127,255,0.77,0.785
134,204,127,255,0.785,0.8
132,203,126,255,0.8,0.815
131,203,125,255,0.815,0.83
129,202,125,255,0.83,0.845
127,201,124,255,0.845,0.86
126,201,123,255,0.86,0.875
124,200,123,255,0.875,0.89
122,199,122,255,0.89,0.905
121,198,121,255,0.905,0.92
119,198,121,255,0.92,0.935
117,197,120,255,0.935,0.95
116,196,119,255,0.95,0.965
114,195,118,255,0.965,0.98
112,194,117,255,0.98,0.995
111,193,116,255,0.995,1.01
109,192,115,255,1.01,1.025
107,192,114,255,1.025,1.04
105,191,114,255,1.04,1.055
104,190,113,255,1.055,1.07
102,189,112,255,1.07,1.085
100,188,111,255,1.085,1.1
98,187,110,255,1.1,1.115
97,187,109,255,1.115,1.13
95,186,108,255,1.13,1.145
93,185,107,255,1.145,1.16
92,184,107,255,1.16,1.175
90,183,106,255,1.175,1.19
88,182,105,255,1.19,1.205
86,181,104,255,1.205,1.22
85,181,103,255,1.22,1.235
83,180,102,255,1.235,1.25
81,179,101,255,1.25,1.265
79,178,100,255,1.265,1.28
78,177,99,255,1.28,1.295
76,176,99,255,1.295,1.31
74,176,98,255,1.31,1.325
73,175,97,255,1.325,1.34
71,174,96,255,1.34,1.355
69,173,95,255,1.355,1.37
67,172,94,255,1.37,1.385
66,171,93,255,1.385,1.4
64,170,92,255,1.4,1.415
63,169,92,255,1.415,1.43
63,168,91,255,1.43,1.445
62,167,90,255,1.445,1.46
61,165,89,255,1.46,1.475
60,164,88,255,1.475,1.49
59,163,88,255,1.49,1.505
58,162,87,255,1.505,1.52
57,160,86,255,1.52,1.535
56,159,85,255,1.535,1.55
55,158,84,255,1.55,1.565
54,157,84,255,1.565,1.58
53,156,83,255,1.58,1.595
52,154,82,255,1.595,1.61
51,153,81,255,1.61,1.625
50,152,80,255,1.625,1.64
49,151,79,255,1.64,1.655
48,149,79,255,1.655,1.67
47,148,78,255,1.67,1.685
47,147,77,255,1.685,1.7
46,146,76,255,1.7,1.715
45,145,75,255,1.715,1.73
44,143,75,255,1.73,1.745
43,142,74,255,1.745,1.76
42,141,73,255,1.76,1.775
41,140,72,255,1.775,1.79
40,138,71,255,1.79,1.805
39,137,70,255,1.805,1.82
38,136,70,255,1.82,1.835
37,135,69,255,1.835,1.85
36,134,68,255,1.85,1.865
35,132,67,255,1.865,1.88
34,131,67,255,1.88,1.895
33,130,66,255,1.895,1.91
32,130,66,255,1.91,1.925
31,129,66,255,1.925,1.94
30,128,65,255,1.94,1.955
29,127,65,255,1.955,1.97
28,126,64,255,1.97,1.985
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
26,125,64,255,1.985,2.0
