red,green,blue,alpha,data_lim_low,data_lim_high
0,0,0,0
247,251,255,255,0.0,0.33
246,250,255,255,0.33,0.66
245,250,254,255,0.66,1.0
245,249,254,255,1.0,1.33
244,249,254,255,1.33,1.66
243,248,254,255,1.66,2.0
242,248,253,255,2.0,2.33
242,247,253,255,2.33,2.66
241,247,253,255,2.66,3.0
240,246,253,255,3.0,3.33
239,246,252,255,3.33,3.66
238,245,252,255,3.66,4.0
237,245,252,255,4.0,4.33
237,244,252,255,4.33,4.66
236,244,251,255,4.66,5.0
235,243,251,255,5.0,5.33
234,243,251,255,5.33,5.66
234,242,251,255,5.66,6.0
233,242,250,255,6.0,6.33
232,241,250,255,6.33,6.66
231,241,250,255,6.66,7.0
231,240,250,255,7.0,7.33
230,240,249,255,7.33,7.66
229,239,249,255,7.66,8.0
228,239,249,255,8.0,8.33
227,238,249,255,8.33,8.66
227,238,248,255,8.66,9.0
226,237,248,255,9.0,9.33
225,237,248,255,9.33,9.66
224,236,248,255,9.66,10.0
223,236,247,255,10.0,10.33
223,235,247,255,10.33,10.66
222,235,247,255,10.66,11.0
221,234,247,255,11.0,11.33
220,234,246,255,11.33,11.66
220,233,246,255,11.66,12.0
219,233,246,255,12.0,12.33
218,232,246,255,12.33,12.66
217,232,245,255,12.66,13.0
217,231,245,255,13.0,13.33
216,231,245,255,13.33,13.66
215,230,245,255,13.66,14.0
214,230,244,255,14.0,14.33
214,229,244,255,14.33,14.66
213,229,244,255,14.66,15.0
212,228,244,255,15.0,15.33
211,228,243,255,15.33,15.66
211,227,243,255,15.66,16.0
210,227,243,255,16.0,16.33
209,226,243,255,16.33,16.66
208,226,242,255,16.66,17.0
208,225,242,255,17.0,17.33
207,225,242,255,17.33,17.66
206,224,242,255,17.66,18.0
205,224,241,255,18.0,18.33
205,223,241,255,18.33,18.66
204,223,241,255,18.66,19.0
203,222,241,255,19.0,19.33
202,222,240,255,19.33,19.66
202,221,240,255,19.66,20.0
201,221,240,255,20.0,20.33
200,220,240,255,20.33,20.66
199,220,239,255,20.66,21.0
199,219,239,255,21.0,21.33
198,219,239,255,21.33,21.66
196,218,238,255,21.66,22.0
