red,green,blue,alpha,data_lim_low,data_lim_high
127,59,8,255,-10.0,-9.925
129,60,8,255,-9.925,-9.85
131,61,8,255,-9.85,-9.775
133,62,8,255,-9.775,-9.7
135,64,8,255,-9.7,-9.625
137,65,8,255,-9.625,-9.55
139,66,8,255,-9.55,-9.475
141,67,7,255,-9.475,-9.4
143,68,7,255,-9.4,-9.325
145,69,7,255,-9.325,-9.25
147,70,7,255,-9.25,-9.175
149,72,7,255,-9.175,-9.1
151,73,7,255,-9.1,-9.025
154,74,7,255,-9.025,-8.95
156,75,7,255,-8.95,-8.875
158,76,7,255,-8.875,-8.8
160,77,7,255,-8.8,-8.725
162,78,7,255,-8.725,-8.65
164,79,7,255,-8.65,-8.575
166,81,7,255,-8.575,-8.5
168,82,6,255,-8.5,-8.425
170,83,6,255,-8.425,-8.35
172,84,6,255,-8.35,-8.275
174,85,6,255,-8.275,-8.2
176,86,6,255,-8.2,-8.125
178,87,6,255,-8.125,-8.05
180,89,6,255,-8.05,-7.975
182,90,7,255,-7.975,-7.9
183,92,7,255,-7.9,-7.825
185,94,8,255,-7.825,-7.75
187,95,8,255,-7.75,-7.675
189,97,9,255,-7.675,-7.6
190,99,10,255,-7.6,-7.525
192,100,10,255,-7.525,-7.45
194,102,11,255,-7.45,-7.375
196,104,11,255,-7.375,-7.3
198,105,12,255,-7.3,-7.225
199,107,12,255,-7.225,-7.15
201,109,13,255,-7.15,-7.075
203,110,13,255,-7.075,-7.0
205,112,14,255,-7.0,-6.925
206,114,15,255,-6.925,-6.85
208,115,15,255,-6.85,-6.775
210,117,16,255,-6.775,-6.7
212,118,16,255,-6.7,-6.625
213,120,17,255,-6.625,-6.55
215,122,17,255,-6.55,-6.475
217,123,18,255,-6.475,-6.4
219,125,18,255,-6.4,-6.325
220,127,19,255,-6.325,-6.25
222,128,19,255,-6.25,-6.175
224,130,20,255,-6.175,-6.1
225,132,23,255,-6.1,-6.025
226,134,26,255,-6.025,-5.95
227,136,29,255,-5.95,-5.875
229,138,32,255,-5.875,-5.8
230,141,35,255,-5.8,-5.725
231,143,39,255,-5.725,-5.65
232,145,42,255,-5.65,-5.575
233,147,45,255,-5.575,-5.5
234,149,48,255,-5.5,-5.425
235,151,51,255,-5.425,-5.35
237,153,54,255,-5.35,-5.275
238,155,57,255,-5.275,-5.2
239,158,60,255,-5.2,-5.125
240,160,63,255,-5.125,-5.05
