red,green,blue,alpha,data_lim_low,data_lim_high
5,48,97,255,-10.0,-9.92
6,50,100,255,-9.92,-9.84
7,52,103,255,-9.84,-9.76
8,54,106,255,-9.76,-9.68
9,56,109,255,-9.68,-9.6
10,59,112,255,-9.6,-9.52
12,61,115,255,-9.52,-9.44
13,63,118,255,-9.44,-9.36
14,65,121,255,-9.36,-9.28
15,67,123,255,-9.28,-9.2
16,69,126,255,-9.2,-9.12
17,71,129,255,-9.12,-9.04
18,73,132,255,-9.04,-8.96
19,76,135,255,-8.96,-8.88
20,78,138,255,-8.88,-8.8
21,80,141,255,-8.8,-8.72
23,82,144,255,-8.72,-8.64
24,84,147,255,-8.64,-8.56
25,86,150,255,-8.56,-8.48
26,88,153,255,-8.48,-8.4
27,90,156,255,-8.4,-8.32
28,92,159,255,-8.32,-8.24
29,95,162,255,-8.24,-8.16
30,97,165,255,-8.16,-8.08
31,99,168,255,-8.08,-8.0
32,101,171,255,-8.0,-7.92
34,103,172,255,-7.92,-7.84
35,105,173,255,-7.84,-7.76
36,106,174,255,-7.76,-7.68
38,108,175,255,-7.68,-7.6
39,110,176,255,-7.6,-7.52
40,112,177,255,-7.52,-7.44
42,113,178,255,-7.44,-7.36
43,115,179,255,-7.36,-7.28
44,117,180,255,-7.28,-7.2
46,119,181,255,-7.2,-7.12
47,121,181,255,-7.12,-7.04
48,122,182,255,-7.04,-6.96
50,124,183,255,-6.96,-6.88
51,126,184,255,-6.88,-6.8
52,128,185,255,-6.8,-6.72
54,129,186,255,-6.72,-6.64
55,131,187,255,-6.64,-6.56
56,133,188,255,-6.56,-6.48
58,135,189,255,-6.48,-6.4
59,136,190,255,-6.4,-6.32
60,138,190,255,-6.32,-6.24
62,140,191,255,-6.24,-6.16
63,142,192,255,-6.16,-6.08
64,143,193,255,-6.08,-6.0
66,145,194,255,-6.0,-5.92
67,147,195,255,-5.92,-5.84
70,149,196,255,-5.84,-5.76
73,151,197,255,-5.76,-5.68
76,153,198,255,-5.68,-5.6
79,155,199,255,-5.6,-5.52
82,157,200,255,-5.52,-5.44
86,159,201,255,-5.44,-5.36
89,161,202,255,-5.36,-5.28
92,163,203,255,-5.28,-5.2
95,165,205,255,-5.2,-5.12
98,167,206,255,-5.12,-5.04
101,169,207,255,-5.04,-4.96
104,171,208,255,-4.96,-4.88
107,172,209,255,-4.88,-4.8
110,174,210,255,-4.8,-4.72
113,176,211,255,-4.72,-4.64
117,178,212,255,-4.64,-4.56
120,180,213,255,-4.56,-4.48
123,182,214,255,-4.48,-4.4
126,184,215,255,-4.4,-4.32
129,186,216,255,-4.32,-4.24
132,188,217,255,-4.24,-4.16
135,190,218,255,-4.16,-4.08
138,192,219,255,-4.08,-4.0
141,194,220,255,-4.0,-3.92
144,196,221,255,-3.92,-3.84
147,198,222,255,-3.84,-3.76
150,199,223,255,-3.76,-3.68
152,200,224,255,-3.68,-3.6
155,201,224,255,-3.6,-3.52
157,203,225,255,-3.52,-3.44
160,204,226,255,-3.44,-3.36
162,205,227,255,-3.36,-3.28
165,206,227,255,-3.28,-3.2
167,208,228,255,-3.2,-3.12
169,209,229,255,-3.12,-3.04
172,210,229,255,-3.04,-2.96
174,211,230,255,-2.96,-2.88
177,213,231,255,-2.88,-2.8
179,214,232,255,-2.8,-2.72
182,215,232,255,-2.72,-2.64
184,216,233,255,-2.64,-2.56
187,218,234,255,-2.56,-2.48
189,219,234,255,-2.48,-2.4
192,220,235,255,-2.4,-2.32
194,221,236,255,-2.32,-2.24
197,223,236,255,-2.24,-2.16
199,224,237,255,-2.16,-2.08
202,225,238,255,-2.08,-2.0
204,226,239,255,-2.0,-1.92
207,228,239,255,-1.92,-1.84
209,229,240,255,-1.84,-1.76
210,230,240,255,-1.76,-1.68
212,230,241,255,-1.68,-1.6
213,231,241,255,-1.6,-1.52
215,232,241,255,-1.52,-1.44
216,233,241,255,-1.44,-1.36
218,233,242,255,-1.36,-1.28
219,234,242,255,-1.28,-1.2
221,235,242,255,-1.2,-1.12
222,235,242,255,-1.12,-1.04
224,236,243,255,-1.04,-0.96
225,237,243,255,-0.96,-0.88
227,237,243,255,-0.88,-0.8
228,238,244,255,-0.8,-0.72
230,239,244,255,-0.72,-0.64
231,240,244,255,-0.64,-0.56
233,240,244,255,-0.56,-0.48
234,241,245,255,-0.48,-0.4
236,242,245,255,-0.4,-0.32
237,242,245,255,-0.32,-0.24
239,243,245,255,-0.24,-0.16
240,244,246,255,-0.16,-0.08
242,245,246,255,-0.08,0.0
243,245,246,255,0.0,0.08
245,246,247,255,0.08,0.16
246,247,247,255,0.16,0.24
247,246,246,255,0.24,0.32
247,245,244,255,0.32,0.4
248,244,242,255,0.4,0.48
248,243,240,255,0.48,0.56
248,242,239,255,0.56,0.64
248,241,237,255,0.64,0.72
249,240,235,255,0.72,0.8
249,239,233,255,0.8,0.88
249,238,231,255,0.88,0.96
249,237,229,255,0.96,1.04
249,235,227,255,1.04,1.12
250,234,225,255,1.12,1.2
250,233,223,255,1.2,1.28
250,232,222,255,1.28,1.36
250,231,220,255,1.36,1.44
251,230,218,255,1.44,1.52
251,229,216,255,1.52,1.6
251,228,214,255,1.6,1.68
251,227,212,255,1.68,1.76
252,226,210,255,1.76,1.84
252,224,208,255,1.84,1.92
252,223,207,255,1.92,2.0
252,222,205,255,2.0,2.08
253,221,203,255,2.08,2.16
253,220,201,255,2.16,2.24
253,219,199,255,2.24,2.32
253,217,196,255,2.32,2.4
252,215,194,255,2.4,2.48
252,213,191,255,2.48,2.56
252,211,188,255,2.56,2.64
251,208,185,255,2.64,2.72
251,206,183,255,2.72,2.8
251,204,180,255,2.8,2.88
250,202,177,255,2.88,2.96
250,200,175,255,2.96,3.04
249,198,172,255,3.04,3.12
249,196,169,255,3.12,3.2
249,194,167,255,3.2,3.28
248,191,164,255,3.28,3.36
248,189,161,255,3.36,3.44
248,187,158,255,3.44,3.52
247,185,156,255,3.52,3.6
247,183,153,255,3.6,3.68
247,181,150,255,3.68,3.76
246,179,148,255,3.76,3.84
246,177,145,255,3.84,3.92
246,175,142,255,3.92,4.0
245,172,139,255,4.0,4.08
245,170,137,255,4.08,4.16
245,168,134,255,4.16,4.24
244,166,131,255,4.24,4.32
243,164,129,255,4.32,4.4
242,161,127,255,4.4,4.48
241,158,125,255,4.48,4.56
240,156,123,255,4.56,4.64
239,153,121,255,4.64,4.72
238,150,119,255,4.72,4.8
236,147,116,255,4.8,4.88
235,145,114,255,4.88,4.96
234,142,112,255,4.96,5.04
233,139,110,255,5.04,5.12
232,137,108,255,5.12,5.2
230,134,106,255,5.2,5.28
229,131,104,255,5.28,5.36
228,128,102,255,5.36,5.44
227,126,100,255,5.44,5.52
226,123,98,255,5.52,5.6
225,120,96,255,5.6,5.68
223,118,94,255,5.68,5.76
222,115,92,255,5.76,5.84
221,112,89,255,5.84,5.92
220,110,87,255,5.92,6.0
219,107,85,255,6.0,6.08
218,104,83,255,6.08,6.16
216,101,81,255,6.16,6.24
215,99,79,255,6.24,6.32
214,96,77,255,6.32,6.4
213,93,76,255,6.4,6.48
211,90,74,255,6.48,6.56
210,88,73,255,6.56,6.64
208,85,72,255,6.64,6.72
207,82,70,255,6.72,6.8
206,79,69,255,6.8,6.88
204,76,68,255,6.88,6.96
203,73,66,255,6.96,7.04
201,71,65,255,7.04,7.12
200,68,64,255,7.12,7.2
198,65,62,255,7.2,7.28
197,62,61,255,7.28,7.36
196,59,60,255,7.36,7.44
194,56,58,255,7.44,7.52
193,54,57,255,7.52,7.6
191,51,56,255,7.6,7.68
190,48,54,255,7.68,7.76
189,45,53,255,7.76,7.84
187,42,52,255,7.84,7.92
186,40,50,255,7.92,8.0
184,37,49,255,8.0,8.08
183,34,48,255,8.08,8.16
