red,green,blue,alpha,data_lim_low,data_lim_high
59,76,192,255,-10.0,-9.925
60,78,194,255,-9.925,-9.85
61,80,195,255,-9.85,-9.775
62,81,197,255,-9.775,-9.7
63,83,198,255,-9.7,-9.625
64,85,200,255,-9.625,-9.55
66,87,201,255,-9.55,-9.475
67,88,203,255,-9.475,-9.4
68,90,204,255,-9.4,-9.325
69,92,206,255,-9.325,-9.25
70,94,207,255,-9.25,-9.175
72,95,209,255,-9.175,-9.1
73,97,210,255,-9.1,-9.025
74,99,211,255,-9.025,-8.95
75,100,213,255,-8.95,-8.875
76,102,214,255,-8.875,-8.8
78,104,216,255,-8.8,-8.725
79,105,217,255,-8.725,-8.65
80,107,218,255,-8.65,-8.575
81,109,219,255,-8.575,-8.5
83,110,221,255,-8.5,-8.425
84,112,222,255,-8.425,-8.35
85,114,223,255,-8.35,-8.275
86,115,224,255,-8.275,-8.2
88,117,225,255,-8.2,-8.125
89,119,227,255,-8.125,-8.05
90,120,228,255,-8.05,-7.975
91,122,229,255,-7.975,-7.9
93,124,230,255,-7.9,-7.825
94,125,231,255,-7.825,-7.75
95,127,232,255,-7.75,-7.675
97,128,233,255,-7.675,-7.6
98,130,234,255,-7.6,-7.525
99,132,235,255,-7.525,-7.45
100,133,236,255,-7.45,-7.375
102,135,237,255,-7.375,-7.3
103,136,238,255,-7.3,-7.225
104,138,239,255,-7.225,-7.15
106,139,239,255,-7.15,-7.075
107,141,240,255,-7.075,-7.0
108,143,241,255,-7.0,-6.925
110,144,242,255,-6.925,-6.85
111,146,243,255,-6.85,-6.775
112,147,243,255,-6.775,-6.7
114,149,244,255,-6.7,-6.625
115,150,245,255,-6.625,-6.55
117,151,246,255,-6.55,-6.475
118,153,246,255,-6.475,-6.4
119,154,247,255,-6.4,-6.325
121,156,248,255,-6.325,-6.25
122,157,248,255,-6.25,-6.175
123,159,249,255,-6.175,-6.1
125,160,249,255,-6.1,-6.025
126,161,250,255,-6.025,-5.95
128,163,250,255,-5.95,-5.875
129,164,251,255,-5.875,-5.8
130,166,251,255,-5.8,-5.725
132,167,252,255,-5.725,-5.65
133,168,252,255,-5.65,-5.575
134,169,252,255,-5.575,-5.5
136,171,253,255,-5.5,-5.425
137,172,253,255,-5.425,-5.35
139,173,253,255,-5.35,-5.275
140,175,254,255,-5.275,-5.2
141,176,254,255,-5.2,-5.125
