red,green,blue,alpha,data_lim_low,data_lim_high
0,0,0,0
68,1,84,255,380.0,380.2
68,2,86,255,380.2,380.4
69,4,87,255,380.4,380.6
69,5,89,255,380.6,380.8
70,7,90,255,380.8,381.0
70,8,92,255,381.0,381.2
70,10,93,255,381.2,381.4
70,11,94,255,381.4,381.6
71,13,96,255,381.6,381.8
71,14,97,255,381.8,382.0
71,16,99,255,382.0,382.2
71,17,100,255,382.2,382.4
71,19,101,255,382.4,382.6
72,20,103,255,382.6,382.8
72,22,104,255,382.8,383.0
72,23,105,255,383.0,383.2
72,24,106,255,383.2,383.4
72,26,108,255,383.4,383.6
72,27,109,255,383.6,383.8
72,28,110,255,383.8,384.0
72,29,111,255,384.0,384.2
72,31,112,255,384.2,384.4
72,32,113,255,384.4,384.6
72,33,115,255,384.6,384.8
72,35,116,255,384.8,385.0
72,36,117,255,385.0,385.2
72,37,118,255,385.2,385.4
72,38,119,255,385.4,385.6
72,40,120,255,385.6,385.8
72,41,121,255,385.8,386.0
71,42,122,255,386.0,386.2
71,44,122,255,386.2,386.4
71,45,123,255,386.4,386.6
71,46,124,255,386.6,386.8
71,47,125,255,386.8,387.0
70,48,126,255,387.0,387.2
70,50,126,255,387.2,387.4
70,51,127,255,387.4,387.6
70,52,128,255,387.6,387.8
69,53,129,255,387.8,388.0
69,55,129,255,388.0,388.2
69,56,130,255,388.2,388.4
68,57,131,255,388.4,388.6
68,58,131,255,388.6,388.8
68,59,132,255,388.8,389.0
67,61,132,255,389.0,389.2
67,62,133,255,389.2,389.4
66,63,133,255,389.4,389.6
66,64,134,255,389.6,389.8
66,65,134,255,389.8,390.0
65,66,135,255,390.0,390.2
65,68,135,255,390.2,390.4
64,69,136,255,390.4,390.6
64,70,136,255,390.6,390.8
63,71,136,255,390.8,391.0
63,72,137,255,391.0,391.2
62,73,137,255,391.2,391.4
62,74,137,255,391.4,391.6
62,76,138,255,391.6,391.8
61,77,138,255,391.8,392.0
61,78,138,255,392.0,392.2
60,79,138,255,392.2,392.4
60,80,139,255,392.4,392.6
59,81,139,255,392.6,392.8
59,82,139,255,392.8,393.0
58,83,139,255,393.0,393.2
58,84,140,255,393.2,393.4
57,85,140,255,393.4,393.6
57,86,140,255,393.6,393.8
56,88,140,255,393.8,394.0
56,89,140,255,394.0,394.2
55,90,140,255,394.2,394.4
55,91,141,255,394.4,394.6
54,92,141,255,394.6,394.8
54,93,141,255,394.8,395.0
53,94,141,255,395.0,395.2
53,95,141,255,395.2,395.4
52,96,141,255,395.4,395.6
52,97,141,255,395.6,395.8
51,98,141,255,395.8,396.0
51,99,141,255,396.0,396.2
50,100,142,255,396.2,396.4
50,101,142,255,396.4,396.6
49,102,142,255,396.6,396.8
49,103,142,255,396.8,397.0
49,104,142,255,397.0,397.2
48,105,142,255,397.2,397.4
48,106,142,255,397.4,397.6
47,107,142,255,397.6,397.8
47,108,142,255,397.8,398.0
46,109,142,255,398.0,398.2
46,110,142,255,398.2,398.4
46,111,142,255,398.4,398.6
45,112,142,255,398.6,398.8
45,113,142,255,398.8,399.0
44,113,142,255,399.0,399.2
44,114,142,255,399.2,399.4
44,115,142,255,399.4,399.6
43,116,142,255,399.6,399.8
43,117,142,255,399.8,400.0
42,118,142,255,400.0,400.2
42,119,142,255,400.2,400.4
42,120,142,255,400.4,400.6
41,121,142,255,400.6,400.8
41,122,142,255,400.8,401.0
41,123,142,255,401.0,401.2
40,124,142,255,401.2,401.4
40,125,142,255,401.4,401.6
39,126,142,255,401.6,401.8
39,127,142,255,401.8,402.0
39,128,142,255,402.0,402.2
38,129,142,255,402.2,402.4
38,130,142,255,402.4,402.6
38,131,142,255,402.6,402.8
37,131,142,255,402.8,403.0
37,132,142,255,403.0,403.2
37,133,142,255,403.2,403.4
36,134,142,255,403.4,403.6
36,135,142,255,403.6,403.8
35,136,142,255,403.8,404.0
35,137,142,255,404.0,404.2
35,138,141,255,404.2,404.4
34,139,141,255,404.4,404.6
34,140,141,255,404.6,404.8
34,141,141,255,404.8,405.0
33,142,141,255,405.0,405.2
33,143,141,255,405.2,405.4
33,144,141,255,405.4,405.6
33,145,141,255,405.6,405.8
32,146,141,255,405.8,406.0
32,146,140,255,406.0,406.2
32,147,140,255,406.2,406.4
31,148,140,255,406.4,406.6
31,149,139,255,406.6,406.8
31,150,139,255,406.8,407.0
31,151,139,255,407.0,407.2
31,152,139,255,407.2,407.4
31,153,138,255,407.4,407.6
31,154,138,255,407.6,407.8
30,155,138,255,407.8,408.0
30,156,137,255,408.0,408.2
30,157,137,255,408.2,408.4
31,158,137,255,408.4,408.6
31,159,136,255,408.6,408.8
31,160,136,255,408.8,409.0
31,161,136,255,409.0,409.2
31,161,135,255,409.2,409.4
31,162,135,255,409.4,409.6
32,163,134,255,409.6,409.8
32,164,134,255,409.8,410.0
33,165,133,255,410.0,410.2
33,166,133,255,410.2,410.4
34,167,133,255,410.4,410.6
34,168,132,255,410.6,410.8
35,169,131,255,410.8,411.0
36,170,131,255,411.0,411.2
37,171,130,255,411.2,411.4
37,172,130,255,411.4,411.6
38,173,129,255,411.6,411.8
39,173,129,255,411.8,412.0
40,174,128,255,412.0,412.2
41,175,127,255,412.2,412.4
42,176,127,255,412.4,412.6
44,177,126,255,412.6,412.8
45,178,125,255,412.8,413.0
46,179,124,255,413.0,413.2
47,180,124,255,413.2,413.4
49,181,123,255,413.4,413.6
50,182,122,255,413.6,413.8
52,182,121,255,413.8,414.0
53,183,121,255,414.0,414.2
55,184,120,255,414.2,414.4
56,185,119,255,414.4,414.6
58,186,118,255,414.6,414.8
59,187,117,255,414.8,415.0
61,188,116,255,415.0,415.2
63,188,115,255,415.2,415.4
64,189,114,255,415.4,415.6
66,190,113,255,415.6,415.8
68,191,112,255,415.8,416.0
70,192,111,255,416.0,416.2
72,193,110,255,416.2,416.4
74,193,109,255,416.4,416.6
76,194,108,255,416.6,416.8
78,195,107,255,416.8,417.0
80,196,106,255,417.0,417.2
82,197,105,255,417.2,417.4
84,197,104,255,417.4,417.6
86,198,103,255,417.6,417.8
88,199,101,255,417.8,418.0
90,200,100,255,418.0,418.2
92,200,99,255,418.2,418.4
94,201,98,255,418.4,418.6
96,202,96,255,418.6,418.8
99,203,95,255,418.8,419.0
101,203,94,255,419.0,419.2
103,204,92,255,419.2,419.4
105,205,91,255,419.4,419.6
108,205,90,255,419.6,419.8
110,206,88,255,419.8,420.0
112,207,87,255,420.0,420.2
115,208,86,255,420.2,420.4
117,208,84,255,420.4,420.6
119,209,83,255,420.6,420.8
122,209,81,255,420.8,421.0
124,210,80,255,421.0,421.2
127,211,78,255,421.2,421.4
129,211,77,255,421.4,421.6
132,212,75,255,421.6,421.8
134,213,73,255,421.8,422.0
137,213,72,255,422.0,422.2
139,214,70,255,422.2,422.4
142,214,69,255,422.4,422.6
144,215,67,255,422.6,422.8
147,215,65,255,422.8,423.0
149,216,64,255,423.0,423.2
152,216,62,255,423.2,423.4
155,217,60,255,423.4,423.6
157,217,59,255,423.6,423.8
160,218,57,255,423.8,424.0
162,218,55,255,424.0,424.2
165,219,54,255,424.2,424.4
168,219,52,255,424.4,424.6
170,220,50,255,424.6,424.8
173,220,48,255,424.8,425.0
176,221,47,255,425.0,425.2
178,221,45,255,425.2,425.4
181,222,43,255,425.4,425.6
184,222,41,255,425.6,425.8
186,222,40,255,425.8,426.0
189,223,38,255,426.0,426.2
192,223,37,255,426.2,426.4
194,223,35,255,426.4,426.6
197,224,33,255,426.6,426.8
200,224,32,255,426.8,427.0
202,225,31,255,427.0,427.2
205,225,29,255,427.2,427.4
208,225,28,255,427.4,427.6
210,226,27,255,427.6,427.8
213,226,26,255,427.8,428.0
216,226,25,255,428.0,428.2
218,227,25,255,428.2,428.4
221,227,24,255,428.4,428.6
223,227,24,255,428.6,428.8
226,228,24,255,428.8,429.0
229,228,25,255,429.0,429.2
231,228,25,255,429.2,429.4
234,229,26,255,429.4,429.6
236,229,27,255,429.6,429.8
239,229,28,255,429.8,430.0
239,229,28,255,429.8,430.0
239,229,28,255,429.8,430.0
239,229,28,255,429.8,430.0
239,229,28,255,429.8,430.0
239,229,28,255,429.8,430.0
