red,green,blue,alpha,data_lim_low,data_lim_high
246,230,32,0,,
68,1,84,255,-inf,380.0
68,2,86,255,380.0,380.4
69,4,87,255,380.4,380.8
69,5,89,255,380.8,381.2
70,7,90,255,381.2,381.6
70,8,92,255,381.6,382.0
70,10,93,255,382.0,382.4
70,11,94,255,382.4,382.8
71,13,96,255,382.8,383.2
71,14,97,255,383.2,383.6
71,16,99,255,383.6,384.0
71,17,100,255,384.0,384.4
71,19,101,255,384.4,384.8
72,20,103,255,384.8,385.2
72,22,104,255,385.2,385.6
72,23,105,255,385.6,386.0
72,24,106,255,386.0,386.4
72,26,108,255,386.4,386.8
72,27,109,255,386.8,387.2
72,28,110,255,387.2,387.6
72,29,111,255,387.6,388.0
72,31,112,255,388.0,388.4
72,32,113,255,388.4,388.8
72,33,115,255,388.8,389.2
72,35,116,255,389.2,389.6
72,36,117,255,389.6,390.0
72,37,118,255,390.0,390.4
72,38,119,255,390.4,390.8
72,40,120,255,390.8,391.2
72,41,121,255,391.2,391.6
71,42,122,255,391.6,392.0
71,44,122,255,392.0,392.4
71,45,123,255,392.4,392.8
71,46,124,255,392.8,393.2
71,47,125,255,393.2,393.6
70,48,126,255,393.6,394.0
70,50,126,255,394.0,394.4
70,51,127,255,394.4,394.8
70,52,128,255,394.8,395.2
69,53,129,255,395.2,395.6
69,55,129,255,395.6,396.0
69,56,130,255,396.0,396.4
68,57,131,255,396.4,396.8
68,58,131,255,396.8,397.2
68,59,132,255,397.2,397.6
67,61,132,255,397.6,398.0
67,62,133,255,398.0,398.4
66,63,133,255,398.4,398.8
66,64,134,255,398.8,399.2
66,65,134,255,399.2,399.6
65,66,135,255,399.6,400.0
65,68,135,255,400.0,400.4
64,69,136,255,400.4,400.8
64,70,136,255,400.8,401.2
63,71,136,255,401.2,401.6
63,72,137,255,401.6,402.0
62,73,137,255,402.0,402.4
62,74,137,255,402.4,402.8
62,76,138,255,402.8,403.2
61,77,138,255,403.2,403.6
61,78,138,255,403.6,404.0
60,79,138,255,404.0,404.4
60,80,139,255,404.4,404.8
59,81,139,255,404.8,405.2
59,82,139,255,405.2,405.6
58,83,139,255,405.6,406.0
58,84,140,255,406.0,406.4
57,85,140,255,406.4,406.8
57,86,140,255,406.8,407.2
56,88,140,255,407.2,407.6
56,89,140,255,407.6,408.0
55,90,140,255,408.0,408.4
55,91,141,255,408.4,408.8
54,92,141,255,408.8,409.2
54,93,141,255,409.2,409.6
53,94,141,255,409.6,410.0
53,95,141,255,410.0,410.4
52,96,141,255,410.4,410.8
52,97,141,255,410.8,411.2
51,98,141,255,411.2,411.6
51,99,141,255,411.6,412.0
50,100,142,255,412.0,412.4
50,101,142,255,412.4,412.8
49,102,142,255,412.8,413.2
49,103,142,255,413.2,413.6
49,104,142,255,413.6,414.0
48,105,142,255,414.0,414.4
48,106,142,255,414.4,414.8
47,107,142,255,414.8,415.2
47,108,142,255,415.2,415.6
46,109,142,255,415.6,416.0
46,110,142,255,416.0,416.4
46,111,142,255,416.4,416.8
45,112,142,255,416.8,417.2
45,113,142,255,417.2,417.6
44,113,142,255,417.6,418.0
44,114,142,255,418.0,418.4
44,115,142,255,418.4,418.8
43,116,142,255,418.8,419.2
43,117,142,255,419.2,419.6
42,118,142,255,419.6,420.0
42,119,142,255,420.0,420.4
42,120,142,255,420.4,420.8
41,121,142,255,420.8,421.2
41,122,142,255,421.2,421.6
41,123,142,255,421.6,422.0
40,124,142,255,422.0,422.4
40,125,142,255,422.4,422.8
39,126,142,255,422.8,423.2
39,127,142,255,423.2,423.6
39,128,142,255,423.6,424.0
38,129,142,255,424.0,424.4
38,131,142,255,424.4,424.8
38,130,142,255,424.8,425.2
37,131,142,255,425.2,425.6
37,132,142,255,425.6,426.0
37,133,142,255,426.0,426.4
36,134,142,255,426.4,426.8
36,135,142,255,426.8,427.2
35,136,142,255,427.2,427.6
35,137,142,255,427.6,428.0
35,138,141,255,428.0,428.4
34,139,141,255,428.4,428.8
34,140,141,255,428.8,429.2
34,141,141,255,429.2,429.6
33,142,141,255,429.6,430.0
33,143,141,255,430.0,430.4
33,144,141,255,430.4,430.8
33,145,140,255,430.8,431.2
32,146,140,255,431.2,431.6
32,146,141,255,431.6,432.0
32,147,140,255,432.0,432.4
31,148,140,255,432.4,432.8
31,149,139,255,432.8,433.2
31,150,139,255,433.2,433.6
31,151,139,255,433.6,434.0
31,152,139,255,434.0,434.4
31,153,138,255,434.4,434.8
31,154,138,255,434.8,435.2
30,155,138,255,435.2,435.6
30,156,137,255,435.6,436.0
30,157,137,255,436.0,436.4
31,158,137,255,436.4,436.8
31,159,136,255,436.8,437.2
31,160,136,255,437.2,437.6
31,161,136,255,437.6,438.0
31,161,135,255,438.0,438.4
31,162,135,255,438.4,438.8
32,163,134,255,438.8,439.2
32,164,134,255,439.2,439.6
33,165,133,255,439.6,440.0
33,166,133,255,440.0,440.4
34,167,133,255,440.4,440.8
34,168,132,255,440.8,441.2
35,169,131,255,441.2,441.6
36,170,131,255,441.6,442.0
37,171,130,255,442.0,442.4
37,172,130,255,442.4,442.8
38,173,129,255,442.8,443.2
39,173,129,255,443.2,443.6
40,174,128,255,443.6,444.0
41,175,127,255,444.0,444.4
42,176,127,255,444.4,444.8
44,177,126,255,444.8,445.2
45,178,125,255,445.2,445.6
46,179,124,255,445.6,446.0
47,180,124,255,446.0,446.4
49,181,123,255,446.4,446.8
50,182,122,255,446.8,447.2
52,182,121,255,447.2,447.6
53,183,121,255,447.6,448.0
55,184,120,255,448.0,448.4
56,185,119,255,448.4,448.8
58,186,118,255,448.8,449.2
59,187,117,255,449.2,449.6
61,188,116,255,449.6,450.0
63,188,115,255,450.0,450.4
64,189,114,255,450.4,450.8
66,190,113,255,450.8,451.2
68,191,112,255,451.2,451.6
70,192,111,255,451.6,452.0
72,193,110,255,452.0,452.4
74,193,109,255,452.4,452.8
76,194,108,255,452.8,453.2
78,195,107,255,453.2,453.6
80,196,106,255,453.6,454.0
82,197,105,255,454.0,454.4
84,197,104,255,454.4,454.8
86,198,103,255,454.8,455.2
88,199,101,255,455.2,455.6
90,200,100,255,455.6,456.0
92,200,99,255,456.0,456.4
94,201,98,255,456.4,456.8
96,202,96,255,456.8,457.2
